"","goal","usd_goal_real","title_length","title_punc","title_caps_ratio","currency_is_usd","country_is_us","launched_epoch","open_epoch","Art","Comics","Crafts","Dance","Design","Fashion","Film & Video","Food","Games","Journalism","Music","Photography","Publishing","Technology","Theater","target"
"1941",1e+05,1e+05,59,1,0.120689655172414,1,1,1366869898,2588102,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1942",5000,5000,60,2,0.0517241379310345,1,1,1328560182,2194218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"1943",30000,30000,32,2,0.133333333333333,1,1,1416443136,2525664,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"1944",5000,5000,33,2,0.258064516129032,1,1,1400108930,2526670,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1945",15000,15000,24,1,0.217391304347826,1,1,1334899516,2590484,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"1947",500,565.2,8,0,0.125,0,0,1462484718,2531682,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1949",22500,22500,25,1,0.208333333333333,1,1,1456291392,4232208,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1950",15000,15000,59,3,0.267857142857143,1,1,1329951929,2958871,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1951",1300,1300,10,0,0.1,1,1,1336495156,1254044,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1953",22000,24448.52,41,1,0.075,0,0,1467214789,2553611,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1954",3500,3500,45,1,0.136363636363636,1,1,1411913891,2904109,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"1955",6000,6000,50,1,0.122448979591837,1,1,1406163559,2520041,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1956",11891,11891,35,4,0.161290322580645,1,1,1423255833,2538567,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"1957",100,122.34,14,0,0.214285714285714,0,0,1485617876,2557324,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"1958",800,800,27,0,0.185185185185185,1,1,1357654491,2130309,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1959",17500,17500,39,1,0.289473684210526,1,1,1475880774,3395226,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"1960",1,1.33,58,3,0.145454545454545,0,0,1509584590,1486610,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"1961",5000,5000,29,2,0.185185185185185,1,1,1285311933,3884067,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
